Title,Brand,Screen_Size,Rating,Price,Ram(Gb),Disk_Size_GB,Price_IDR,Cpu_Type
"EXCaliberPC 2022 MSI Creator Z16 A12UET-031US (i7-12700H, 16GB RAM, 1TB NVMe SSD, RTX 3060 6GB, 16"" QHD+ 120Hz, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16,0.0,"$2,399.00",16,1024.0,37016.57,i7
"EXCaliberPC 2022 MSI Pulse GL76 12UEK-052 (i7-12700H, 16GB RAM, 512GB NVMe SSD, RTX 3060 6GB, 17.3"" 144Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,17.3,0.0,"$1,449.00",16,512.0,22358.07,i7
"EXCaliberPC 2022 MSI Prestige 14 A12UC-006 (i7-1260P, 16GB RAM, 512GB NVMe SSD, RTX 3050 4GB, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14,3.0,"$1,199.00",16,512.0,18500.57,i7
"EXCaliberPC 2022 MSI Prestige 14Evo A12M-012 (i5-1240P, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" FHD, Windows 11 Pro) Professional Laptop - Carbon Gray",EXCaliberPC,14,0.0,"$1,099.00",16,512.0,16957.57,i5
"2022 MSI Summit E16Flip A12UCT-008 (i7-1260P, 16GB RAM, 1TB NVMe SSD, RTX 3050 4GB, 16"" QHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,16,0.0,"$1,619.00",16,1024.0,24981.17,i7
"GS66 Stealth Pro Extreme by_MSI Gaming Laptop (i7-10875H, 64GB RAM, 1TB NVMe SSD, RTX2070 Super 8GB, 15.6"" Full HD 300Hz 3ms, Windows 10 Pro) VR Ready Gamer Notebook Computer",EXCaliberPC,15.6,0.0,"$2,899.00",64,1024.0,44731.57,i7
"2022 MSI Summit E14Evo A12M-025 (i7-1260P, 16GB RAM, 1TB NVMe SSD, Intel Iris Xe, 14"" FHD+, Windows 11 Pro) Professional Laptop",EXCaliberPC,14,0.0,"$1,299.00",16,1024.0,20043.57,i7
"EXCaliberPC 2021 XPG Xenia 14 Gaming Laptop (i5-1135G7, 16GB RAM, 512GB NVMe SSD, Intel Iris Xe, 14"" WUXGA, Windows 10) XENIA14I5G11GXELX-BKCUS",EXCaliberPC,14,0.0,$854.21,16,512.0,13180.4603,i5
"2022 MSI Summit E14Flip A12MT-016 Enthusiast (i7-1260P, 16GB RAM, 1TB NVMe SSD, Intel Iris Xe, 14"" QHD+ Touch, Windows 11 Pro) Professional Laptop",EXCaliberPC,14,0.0,"$1,579.00",16,1024.0,24363.97,i7
"Apple 2021 MacBook Pro (16-inch, M1 Pro chip with 10‑core CPU and 16‑core GPU, 32GB RAM, 512GB SSD) - Space Gray Z14V0016E",Apple,16.2,4.9,"$2,899.00",32,512.0,44731.57,Other
"MSI Sword 17 17.3"" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3050TI 16GB 512GBNVMe SSD Win11 - White (A11UD-642)",MSI,17.3,0.0,"$1,242.96",16,512.0,19178.8728,i7
"MSI Pulse GL66 15.6"" 144Hz 3ms FHD Gaming Laptop Intel Core i7-11800H RTX3050 16GB 1TBNVMe SSD Win11 - Gray (11UCK-1249)",MSI,15.6,5.0,$950.61,16,1024.0,14667.9123,i7
"MSI 2022 GF76 Katana 17.3"" 144 Hz FHD Gaming Laptop 12th Intel i7-12700H 14-Core 32GB DDR4 1TB NVMe SSD NVIDIA GeForce RTX 3060 6GB Backlit Keyboard DTS Audio Windows 10 Pro WiFi 6 w/RATZK 32GB USB",MSI,17.3,0.0,"$1,649.00",32,1024.0,25444.07,i7
"MSI WS76 Workstation Laptop: 17.3"" 144Hz FHD 1080p, Intel Core i7-11800H, NVIDIA Quadro RTX A3000 , 32GB, 1TB SSD, Thunderbolt 4, WiFi 6E, TPM2.0 Fingerprint, Win10 PRO, Black (11UK-470)",MSI,17.3,0.0,"$2,084.45",32,1024.0,32163.063499999997,i7
"MSI Creator Z16 16"" QHD+ 120hz 100% DCI-P3 Premium Professional Laptop Intel Core i9-11900H RTX3060 32GB DDR4 2TB NVMe SSD TB4 Win10Pro - Lunar Gray (A11UET-254)",MSI,16,4.6,"$2,699.00",32,2048.0,41645.57,i9
"Acer Aspire 5 A515-56-36UT, 15.6"" Full HD Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Windows 11 Home (S Mode)",Acer,15.6,4.3,$239.00,4,128.0,3687.77,i3
"MSI Creator M16 16"" Content Creation Laptop: Intel Core i7-12650H RTX 3060 32GB 1TB NVMe SSD, QHD+ 16:10 60Hz 100% DCI-P3, 180-Degree Lay-Flat, Cooler Boost Trinity+, Win 11 Home: Black A12UEV-468",MSI,16,4.2,$870.00,32,1024.0,13424.1,i7
"MSI GE76 Raider Gaming Laptop Intel Core i7-11800H, GeForce RTX 3060, 17.3"" FHD 144HZ, 16GB RAM 1TB NVMe SSD, Wi-Fi6, Windows 10",MSI,17.3,4.5,"$1,536.99",16,1024.0,23715.755699999998,i7
"MSI Modern 15A Thin and Light Daily Laptop: 15.6"" FHD 1080p, Intel Core i7-1195G7, Intel Iris Xe, 8GB, 1TB SSD, Win10, Carbon Gray (A11MU-652)",MSI,15.6,3.0,$714.49,8,1024.0,11024.5807,i7
"EXCaliberPC 2022 MSI Katana GF66 12UGSOK-1046 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3070Ti 8GB, 15.6"" 240Hz FHD, Windows 11) Gaming Laptop",EXCaliberPC,15.6,0.0,"$3,295.00",64,4096.0,50841.85,i9
"MSI Creator M16 16"" Content Creation Laptop: Intel Core i7-12650H RTX 3060 32GB 1TB NVMe SSD, QHD+ 16:10 60Hz 100% DCI-P3, 180-Degree Lay-Flat, Cooler Boost Trinity+, Win 11 Home: Black A12UEV-468",MSI,16,4.2,$870.00,32,1024.0,13424.1,i7
"MSI 2022 GE76 Raider 17.3"" 144 Hz FHD Gaming Laptop 12th Intel Core i9-12900H 14-Core 64GB DDR5 2TB NVMe SSD NVIDIA GeForce RTX 3060 6GB RGB Backlit KB Thunderbolt 4 WiFi 6 Windows 11 Home w/32GB USB",MSI,17.3,0.0,"$2,409.00",64,2048.0,37170.87,i9
"MSI Vector GP76 17.3"" FHD 360Hz Gaming Laptop: Intel Core i7-12700H RTX 3060 16GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UE-270",MSI,17.3,5.0,"$1,496.24",16,1024.0,23086.9832,i7
"MSI GE76 Raider Gaming Laptop Intel Core i7-11800H, GeForce RTX 3060 130W, 17.3"" FHD 144HZ, Thunderbolt 4 Type-C Wi-Fi 6 32GB RAM 2TB NVMe SSD, Windows 10, w/ 32GB SD Card",MSI,17.3,0.0,"$1,749.99",32,32.0,27002.345699999998,i7
"MSI GF63 Thin 3050 Gaming Laptop, 15.6"" FHD 144Hz IPS Display, 11th Gen Core i5-11400H, GeForce RTX 3050 4GB, 16GB DDR4 RAM, 1TB PCIe SSD, USB-C, RJ45, WiFi 6, Backlit Keyboard, Win 11",MSI,15.6,4.1,$699.99,16,1024.0,10800.8457,i5
MSI Katana GF76 Gaming Laptop,MSI,17.3,0.0,"$1,099.00",16,1024.0,16957.57,i7
"2022 MSI GF65 Thin 15.6"" FHD 144Hz Gaming Laptop - Intel i7-10750H 6 Cores - NVIDIA GeForce RTX 3060 Max-Q 6GB GDDR6 - 64GB DDR4 - 2TB NVMe SSD - WiFi 6 RJ-45 Win 10 Pro w/ 32GB USB Drive",MSI,15.6,3.7,"$1,649.00",64,2048.0,25444.07,i7
"2022 MSI M16 Creator 16"" QHD+ (2560x1600) Laptop 12th Intel i7-12700H 14-Core 16GB DDR4 512GB NVMe SSD NVIDIA GeForce RTX 3060 6GB Backlit KB Hi-Res Audio Windows 11 Pro WiFi 6 w/RATZK 32GB USB",MSI,15.6,4.0,"$1,649.00",16,512.0,25444.07,i7
"MSI Prestige 14 EVO 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i5-1240P Iris Xe 16GB LPDDR4X 1TB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12M-012",MSI,14,0.0,"$1,072.30",16,512.0,16545.589,i5
"MSI GF63 Thin 9RCX -615 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1050Ti, 8GB, 512GB NVMe SSD, Win10",MSI,15.6,4.5,$619.00,8,512.0,9551.17,i7
"MSI Alpha 17 17.3"" 144Hz Gaming Laptop AMD Ryzen 7 5800H 16GB RAM 512GB SSD AMD Radeon RX 6600M 8GB GDDR6",MSI,17.3,5.0,"$1,499.98",16,512.0,23144.6914,Ryzen
"EXCaliberPC 2022 MSI Raider GE66 12UGS-238 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 15.6"" QHD 240Hz, Windows 11) Gaming Laptop",EXCaliberPC,15.6,5.0,"$1,899.00",32,1024.0,29301.57,i7
"MSI GF65 Gaming Laptop: 15.6"" 144Hz FHD 1080p, Intel Core i7-10750H, NVIDIA GeForce RTX 3050, 8GB, 512GB NVMe SSD, Red Keyboard, Win 10, Black (10UC-439)",MSI,15.6,3.9,$999.00,8,512.0,15414.57,i7
"2022 MSI Stealth 15M B12UE-040 (i7-1260P, 32GB RAM, 1TB NVMe SSD, RTX 3060 6GB, 15.6"" FHD 144Hz, Windows 11 Pro) Gaming Laptop",EXCaliberPC,15.6,2.5,"$1,679.00",32,1024.0,25906.97,i7
"MSI Crosshair17 17.3"" 144Hz FHD Gaming Laptop Intel Core i7-11800H RTX3060 16GB 512GBNVMe SSD Win10",MSI,17.3,4.5,"$1,624.92",16,512.0,25072.515600000002,i7
"MSI GF75 Thin 17.3"" Gaming Laptop Core i7-10750H 16GB RAM 512GB SSD 144Hz GTX 1660 Ti 6GB - 10th Gen i7-10750H Hexa-core - NVIDIA GeForce GTX 1660 Ti 6GB - 144 Hz Refresh Rate - Up to 5 GHz CPU S",MSI,17.3,4.4,"$1,249.99",16,512.0,19287.345699999998,i7
"MSI Prestige 14 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i7-1260P RTX 3050 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12UC-006",MSI,14,0.0,"$1,199.00",16,512.0,18500.57,i7
"MSI Prestige 15 Thin and Performance Driven Laptop: 15.6"" FHD 1080p, Intel Core i5- 155G7, NVIDIA GeForce GTX 1650, 16GB, 512GB SSD, Thunderbolt, WiFi 6E, Win10PRO, Carbon Gray (A11SC-048)",MSI,15.6,0.0,$891.82,16,512.0,13760.7826,i5
"MSI P65 Creator-1084 15.6"" 4K UHD Display, Ultra-Thin and Light, RTX Studio Laptop, Intel Core i7-9750H, GeForce RTX 2060, 32GB DDR4, 1TB Teton Glacier SSD, Win10PRO, VR Ready",MSI,15.6,4.2,"$2,499.00",32,1024.0,38559.57,i7
"MSI Creator 15 A10SGS-040 15.6"" 4K Ultra HD VR-Ready Gaming Notebook Computer, Intel Core i7-10875H 2.3GHz, 32GB RAM, 2TB SSD, NVIDIA GeForce RTX 2080 Super Max-Q 8GB, Windows 10 Pro",MSI,15.6,0.0,"$4,499.00",32,2048.0,69419.56999999999,i7
"MSI GF63 15.6"" Gaming Laptop Intel Core i5-10500H GTX1650 8GB 512GB NVMe SSD Win10 - Black (10SC-838)",MSI,15.6,0.0,$682.47,8,512.0,10530.5121,i5
"MSI GS66 Stealth Gaming Laptop: 15.6"" 300Hz FHD 1080p Display, Intel Core i9-11900H, NVIDIA GeForce RTX 3080, 32GB, 1TB SSD, Thunderbolt 4, WiFi 6, Win10, Black (11UH-020)",MSI,15.6,3.7,"$4,699.99",32,1024.0,72520.84569999999,i9
"MSI GP76 Leopard Gaming Laptop: 17.3"" 240Hz IPS-Level Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3070, 16GB, 1TB SSD, Win10, Black (11UG-076)",MSI,17.3,4.3,"$2,099.00",16,1024.0,32387.57,i7
"MSI Prestige 14 14"" FHD Ultra Thin and Light Professional Laptop: Intel Core i7-1260P GTX 1650 16GB LPDDR4X 512GB NVMe SSD, Thunderbolt 4, MicroSD Card Reader, Win 11 Pro: Carbon Gray A12SC-007",MSI,14,5.0,"$1,090.26",16,512.0,16822.7118,i7
"MSI GS76 Stealth 17.3"" FHD 300Hz 3ms Ultra Thin and Light Gaming Laptop Intel Core i7-11800H RTX3060 16GB 512GB NVMe SSD Win10PRO VR Ready (11UE-623)",MSI,17.3,5.0,"$1,999.00",16,512.0,30844.57,i7
"MSI Modern 14 Professional Laptop: 14"" IPS-Level Thin Bezel Display,Intel Core i7-1165G7, Iris Xe, 8GB, 512GBSSD, Win10, Beige Mousse(B11MO-242)",MSI,14,5.0,$728.72,8,512.0,11244.1496,i7
"MSI Katana GF66 15.6"" 144Hz 3ms FHD Gaming Laptop Intel Core i7-11800H RTX3050TI 16GB 512GBNVMe SSD Win11 - Black (11UD-1090)",MSI,15.6,4.7,"$1,112.00",16,512.0,17158.16,i7
"2022 MSI Stealth GS77 12UHS-040 Pro Extreme (i9-12900H, 64GB RAM, 4TB NVMe SSD, RTX 3080Ti 16GB, 17.3"" 4K UHD, Windows 11 Pro) Gaming Laptop",EXCaliberPC,17.3,5.0,"$4,595.00",64,4096.0,70900.85,i9
"MSI Stealth 15M 15.6"" FHD 144Hz Ultra Thin and Light Gaming Laptop: Intel Core i7-1260P RTX 3060 16GB DDR5 512GB NVMe SSD , Thunderbolt 4, Cooler Boost 5, Win11 Pro: Carbon Gray B12UE-040",MSI,15.6,0.0,$899.00,16,512.0,13871.57,i7
"Lenovo - 2021 - IdeaPad Gaming 3 - Laptop Computer - 15.6"" FHD Display -120Hz - AMD Ryzen 5 5600H - 8GB RAM - 256GB Storage - NVIDIA GeForce GTX 1650 - Windows 11 Home",Lenovo,15.6,4.4,$649.00,8,256.0,10014.07,Ryzen
"2022 MSI GF65 Thin 15.6"" FHD IPS 144Hz Gaming Laptop Intel 8-Core i7-10750H NVIDIA GeForce RTX 3060 6GB GDDR6 32GB DDR4 1TB NVMe SSD HDMI USB-C WiFi AX RJ-45 Backlit Windows 11 Home w/ Free 32GB USB",MSI,15.6,5.0,"$1,449.99",128,4096.0,22373.345699999998,i7
"MSI GS66 Stealth Gaming Laptop: 15.6"" 165Hz QHD 1440p Display, Intel Core i7-11800H, NVIDIA GeForce RTX 3080, 16GB, 1TB SSD, Thunderbolt 4, WiFi 6, Win10, Black (11UH-235)",MSI,15.6,3.7,"$2,380.96",16,1024.0,36738.2128,i7
"MSI Vector GP76 17.3"" FHD 360Hz Gaming Laptop: Intel Core i7-12700H RTX 3080 32GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UH-297",MSI,17.3,4.0,"$2,699.00",32,1024.0,41645.57,i7
"MSI GF65 Thin 10SDR VR-Ready Gaming Laptop, 15.6"" FHD 144Hz LED IPS Display, Intel 6-Core i7-10750H, 16GB DDR4, 1TB NVMe SSD, GTX 1660Ti, Wi-Fi 6, BT 5.1, Webcam, HDMI, Backlit Keyboard, Windows 10",MSI,15.6,0.0,"$1,599.00",16,1024.0,24672.57,i7
"MSI CreatorPro X17 17.3"" Professional Creator Laptop: Intel Core i9-12900HX RTX A3000 32GB DDR5 1TB NVMe SSD, 4K UHD 120hz 100% DCI-P3 , 2x Thunderbolt 4, Win11 Pro: Black A12UKS-059",MSI,17.3,0.0,"$3,649.00",32,1024.0,56304.07,i9
"MSI GF65 Thin 9SD-1028 Gaming Laptop 15.6"" IPS 144Hz Intel Core i7-9750H 8GB 512GB SSD GTX 1660Ti 6G Video Memory 720p Webcam Win10",MSI,15.6,4.5,$798.00,8,512.0,12313.14,i7
"2022 MSI CreatorPro X17 A12UKS-059 (i9-12900HX, 128GB RAM, 2TB Platinum P41 NVMe SSD, RTX A3000 12GB, 17.3"" 4K UHD, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,17.3,0.0,"$5,199.00",128,2048.0,80220.56999999999,i9
"MSI Raider GE66 15.6"" QHD 240Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 Ti 32GB DDR5 1TB NVMe SSD, USB-Type C, Thunderbolt 4, Cooler Boost 5, Win11 Home: Titanium Blue 12UHS-236",MSI,15.6,5.0,"$2,199.99",32,1024.0,33945.8457,i7
"MSI Modern 15 Thin and Light Daily Laptop: 15.6"" FHD 1080p, Ryzen5-5500U, UMA, 8GB, 256GB SSD, Win10PRO, Carbon Gray (A5M-071)",MSI,15.6,2.0,$699.00,8,256.0,10785.57,Ryzen
"Newest MSI GF65 Thin 10SDR Gaming Laptop, 15.6"" FHD 120Hz Display, Intel Core i7-10750H, GTX 1660Ti, 8GB DDR4 Memory, 512GB PCIe NVMe SSD, Win 10 Home, Backlit KB, Aluminum Black, KKE Bundle",MSI,15.6,5.0,$887.98,8,512.0,13701.5314,i7
"MSI GF63 Thin 9RCX -615 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1050Ti, 8GB, 512GB NVMe SSD, Win10",MSI,15.6,4.5,$619.00,8,512.0,9551.17,i7
"MSI Vector GP66 15.6"" QHD 165Hz Gaming Laptop: Intel Core i7-12650H RTX 3080 Ti 16GB 1TB NVMe SSD, Type-C USB 3.2 Gen2 w/ DP 1.4, Wi-Fi 6E, Cooler Boost 5, Win11 Home: Core Black 12UHSO-654",MSI,15.6,0.0,"$2,499.99",16,1024.0,38574.8457,i7
"MSI Prestige 15 Thin and Performance Driven Laptop: 15.6"" FHD 1080p, Intel Core i7-1195G7, NVIDIA GeForce GTX 1650, 16GB, 1TB SSD, Thunderbolt, WiFi 6E, Win10PRO, Carbon Gray (A11SC-044)",MSI,15.6,5.0,"$1,499.00",16,1024.0,23129.57,i7
"2022 MSI Sword 15 A11UD-1248 (i7-11800H, 32GB RAM, 512GB NVMe SSD, RTX 3050Ti 4GB, 15.6"" 144Hz FHD, Windows 11) Gaming Laptop - White",EXCaliberPC,15.6,0.0,"$1,399.00",32,512.0,21586.57,i7
"MSI Summit E13 Flip EVO Professional Laptop: 13"" IPS-Level Touch Screen, Intel core i5-1135G7, Iris Xe, 16GB RAM, 512GB NVMe SSD, Win10 PRO, Ink Black (A11MT-095)",MSI,13.4,0.0,"$1,498.99",16,512.0,23129.4157,i5
"MSI GE75 Raider 10SGS-222 17.3"" 300Hz 3ms Gaming Laptop Intel Core i9-10980HK RTX 2080 Super 32GB 1TB NVMe SSD Win10 VR Ready",MSI,17.3,4.6,"$4,999.00",32,1024.0,77134.56999999999,i9
"MSI GF65 Thin 15.6"" 120Hz FHD Gaming Laptop Intel Core i7-10750H, GTX 1660Ti, 8GB Memory, 512GB NVMe SSD, Win10 (10SDR-1273)",MSI,15.6,4.4,$689.98,8,512.0,10646.3914,i7
"2022 MSI CreatorPro M16 A12UJS-458 (i7-12700H, 64GB RAM, 1TB NVMe SSD, Quadro RTX A2000 8GB, 16"" QHD+, Windows 11 Pro) Content Creation Laptop",EXCaliberPC,16,0.0,"$2,319.00",64,1024.0,35782.17,i7
"MSI Prestige 14 A10SC-230 14"" UHD 4k Ultra Thin and Light Professional Laptop Intel Core i7-10510U GTX1650 MAX-Q 16GB DDR4 512GB NVMe SSD Win10Pro TB3, White",MSI,14,4.2,$976.54,16,512.0,15068.0122,i7
"EXCaliberPC 2022 MSI Vector GP76 12UGS-298 (i7-12700H, 32GB RAM, 1TB NVMe SSD, RTX 3070Ti 8GB, 17.3"" FHD 360Hz 3ms, Windows 11) Gaming Laptop",EXCaliberPC,17.3,5.0,"$1,799.00",32,1024.0,27758.57,i7
"MSI GL62M 7REX-1896US 15.6"" Full HD Gaming Laptop Computer Quad Core i7-7700HQ, GeForce GTX 1050Ti 4G Graphics, 8GB DRAM, 128GB SSD + 1TB Hard Drive, Steelseries Red Backlit Keyboard",MSI,15.6,4.3,$999.99,8,1000.0,15429.8457,i7
"MSI Creator Z16 16"" QHD+ 120hz 100% DCI-P3 Premium Professional Laptop Intel Core i7-11800H RTX3060 16GB DDR4 512B NVMe SSD TB4 Win10Pro - Gray (A11UET-046)",MSI,16,0.0,"$2,299.00",16,512.0,35473.57,i7
"MSI GF63 THIN 9RCX-818 15.6"" Gaming Laptop, Thin Bezel, Intel Core i7-9750H, NVIDIA GeForce GTX 1050 Ti, 8GB, 256GB NVMe SSD",MSI,15.6,4.5,"$1,099.99",8,256.0,16972.845699999998,i7
